Resetting envs
Envs resetted
Total steps: 8193600
Total steps: 8196000
Total steps: 8198400
Total steps: 8200800
Total steps: 8203200
Total steps: 8205600
Total steps: 8208000
Total steps: 8210400
Total steps: 8212800
Total steps: 8215200
Total steps: 8217600
Total steps: 8220000
Total steps: 8222400
Total steps: 8224800
Total steps: 8227200
Total steps: 8229600
Total steps: 8232000
Total steps: 8234400
Total steps: 8236800
Total steps: 8239200
Total steps: 8241600
Total steps: 8244000
Total steps: 8246400
Total steps: 8248800
Total steps: 8251200
Total steps: 8253600
Total steps: 8256000
Total steps: 8258400
Total steps: 8260800
Total steps: 8263200
Total steps: 8265600
Total steps: 8268000
Total steps: 8270400
Total steps: 8272800
Total steps: 8275200
Total steps: 8277600
Total steps: 8280000
Total steps: 8282400
Total steps: 8284800
Total steps: 8287200
Total steps: 8289600
Total steps: 8292000
Total steps: 8294400
Total steps: 8296800
Total steps: 8299200
Total steps: 8301600
Total steps: 8304000
Total steps: 8306400
Total steps: 8308800
Total steps: 8311200
Total steps: 8313600
Total steps: 8316000
Total steps: 8318400
Total steps: 8320800
Total steps: 8323200
Total steps: 8325600
Total steps: 8328000
Total steps: 8330400
Total steps: 8332800
Total steps: 8335200
Total steps: 8337600
Total steps: 8340000
Total steps: 8342400
Total steps: 8344800
Total steps: 8347200
Total steps: 8349600
Total steps: 8352000
Total steps: 8354400
Total steps: 8356800
Total steps: 8359200
Total steps: 8361600
Total steps: 8364000
Total steps: 8366400
Total steps: 8368800
Total steps: 8371200
Total steps: 8373600
Total steps: 8376000
Total steps: 8378400
Total steps: 8380800
Total steps: 8383200
Total steps: 8385600
Total steps: 8388000
Total steps: 8390400
Total steps: 8392800
Total steps: 8395200
Total steps: 8397600
Total steps: 8400000
Total steps: 8402400
Total steps: 8404800
Total steps: 8407200
Total steps: 8409600
Total steps: 8412000
Total steps: 8414400
Total steps: 8416800
Total steps: 8419200
Total steps: 8421600
Total steps: 8424000
Total steps: 8426400
Total steps: 8428800
Total steps: 8431200
Total steps: 8433600
Total steps: 8436000
Total steps: 8438400
Total steps: 8440800
Total steps: 8443200
Total steps: 8445600
Total steps: 8448000
Total steps: 8450400
Total steps: 8452800
Total steps: 8455200
Total steps: 8457600
Total steps: 8460000
Total steps: 8462400
Total steps: 8464800
Total steps: 8467200
Total steps: 8469600
Total steps: 8472000
Total steps: 8474400
Total steps: 8476800
Total steps: 8479200
Total steps: 8481600
Total steps: 8484000
Total steps: 8486400
Total steps: 8488800
Total steps: 8491200
Total steps: 8493600
Total steps: 8496000
Total steps: 8498400
Total steps: 8500800
Total steps: 8503200
Total steps: 8505600
Total steps: 8508000
Total steps: 8510400
Total steps: 8512800
Total steps: 8515200
Total steps: 8517600
Total steps: 8520000
Total steps: 8522400
Total steps: 8524800
Total steps: 8527200
Total steps: 8529600
Total steps: 8532000
Total steps: 8534400
Total steps: 8536800
Total steps: 8539200
Total steps: 8541600
Total steps: 8544000
Total steps: 8546400
Total steps: 8548800
Total steps: 8551200
Total steps: 8553600
Total steps: 8556000
Total steps: 8558400
Total steps: 8560800
Total steps: 8563200
Total steps: 8565600
Total steps: 8568000
Total steps: 8570400
Total steps: 8572800
Total steps: 8575200
Total steps: 8577600
Total steps: 8580000
Total steps: 8582400
Total steps: 8584800
Total steps: 8587200
Total steps: 8589600
Total steps: 8592000
Total steps: 8594400
Total steps: 8596800
Total steps: 8599200
Total steps: 8601600
Total steps: 8604000
Total steps: 8606400
Total steps: 8608800
Total steps: 8611200
Total steps: 8613600
Total steps: 8616000
Total steps: 8618400
Total steps: 8620800
Total steps: 8623200
Total steps: 8625600
Total steps: 8628000
Total steps: 8630400
Total steps: 8632800
Total steps: 8635200
Total steps: 8637600
Total steps: 8640000
Total steps: 8642400
Total steps: 8644800
Total steps: 8647200
Total steps: 8649600
Total steps: 8652000
Total steps: 8654400
Total steps: 8656800
Total steps: 8659200
Total steps: 8661600
Total steps: 8664000
Total steps: 8666400
Total steps: 8668800
Total steps: 8671200
Total steps: 8673600
Total steps: 8676000
Total steps: 8678400
Total steps: 8680800
Total steps: 8683200
Total steps: 8685600
Total steps: 8688000
Total steps: 8690400
Total steps: 8692800
Total steps: 8695200
Total steps: 8697600
Total steps: 8700000
Total steps: 8702400
Total steps: 8704800
Total steps: 8707200
Total steps: 8709600
Total steps: 8712000
Total steps: 8714400
Total steps: 8716800
Total steps: 8719200
Total steps: 8721600
Total steps: 8724000
Total steps: 8726400
Total steps: 8728800
Total steps: 8731200
Total steps: 8733600
Total steps: 8736000
Total steps: 8738400
Total steps: 8740800
Total steps: 8743200
Total steps: 8745600
Total steps: 8748000
Total steps: 8750400
Total steps: 8752800
Total steps: 8755200
Total steps: 8757600
Total steps: 8760000
Total steps: 8762400
Total steps: 8764800
Total steps: 8767200
Total steps: 8769600
Total steps: 8772000
Total steps: 8774400
Total steps: 8776800
Total steps: 8779200
Total steps: 8781600
Total steps: 8784000
Total steps: 8786400
Total steps: 8788800
Total steps: 8791200
Total steps: 8793600
Total steps: 8796000
Total steps: 8798400
Total steps: 8800800
Total steps: 8803200
Total steps: 8805600
Total steps: 8808000
Total steps: 8810400
Total steps: 8812800
Total steps: 8815200
Total steps: 8817600
Total steps: 8820000
Total steps: 8822400
Total steps: 8824800
Total steps: 8827200
Total steps: 8829600
Total steps: 8832000
Total steps: 8834400
Total steps: 8836800
Total steps: 8839200
Total steps: 8841600
Total steps: 8844000
Total steps: 8846400
Total steps: 8848800
Total steps: 8851200
Total steps: 8853600
Total steps: 8856000
Total steps: 8858400
Total steps: 8860800
Total steps: 8863200
Total steps: 8865600
Total steps: 8868000
Total steps: 8870400
Total steps: 8872800
Total steps: 8875200
Total steps: 8877600
Total steps: 8880000
Total steps: 8882400
Total steps: 8884800
Total steps: 8887200
Total steps: 8889600
Total steps: 8892000
Total steps: 8894400
Total steps: 8896800
Total steps: 8899200
Total steps: 8901600
Total steps: 8904000
Total steps: 8906400
Total steps: 8908800
Total steps: 8911200
Total steps: 8913600
Total steps: 8916000
Total steps: 8918400
Total steps: 8920800
Total steps: 8923200
Total steps: 8925600
Total steps: 8928000
Total steps: 8930400
Total steps: 8932800
Total steps: 8935200
Total steps: 8937600
Total steps: 8940000
Total steps: 8942400
Total steps: 8944800
Total steps: 8947200
Total steps: 8949600
Total steps: 8952000
Total steps: 8954400
Total steps: 8956800
Total steps: 8959200
Total steps: 8961600
Total steps: 8964000
Total steps: 8966400
Total steps: 8968800
Total steps: 8971200
Total steps: 8973600
Total steps: 8976000
Total steps: 8978400
Total steps: 8980800
Total steps: 8983200
Total steps: 8985600
Total steps: 8988000
Total steps: 8990400
Total steps: 8992800
Total steps: 8995200
Total steps: 8997600
Total steps: 9000000
Total steps: 9002400
Total steps: 9004800
Total steps: 9007200
Total steps: 9009600
Total steps: 9012000
Total steps: 9014400
Total steps: 9016800
Total steps: 9019200
Total steps: 9021600
Total steps: 9024000
Total steps: 9026400
Total steps: 9028800
Total steps: 9031200
Total steps: 9033600
Total steps: 9036000
Total steps: 9038400
Total steps: 9040800
Total steps: 9043200
Total steps: 9045600
Total steps: 9048000
Total steps: 9050400
Total steps: 9052800
Total steps: 9055200
Total steps: 9057600
Total steps: 9060000
Total steps: 9062400
Total steps: 9064800
Total steps: 9067200
Total steps: 9069600
Total steps: 9072000
Total steps: 9074400
Total steps: 9076800
Total steps: 9079200
Total steps: 9081600
Total steps: 9084000
Total steps: 9086400
Total steps: 9088800
Total steps: 9091200
Total steps: 9093600
Total steps: 9096000
Total steps: 9098400
Total steps: 9100800
Total steps: 9103200
Total steps: 9105600
Total steps: 9108000
Total steps: 9110400
Total steps: 9112800
Total steps: 9115200
Total steps: 9117600
Total steps: 9120000
Total steps: 9122400
Total steps: 9124800
Total steps: 9127200
Total steps: 9129600
Total steps: 9132000
Total steps: 9134400
Total steps: 9136800
Total steps: 9139200
Total steps: 9141600
Total steps: 9144000
Total steps: 9146400
Total steps: 9148800
Total steps: 9151200
Total steps: 9153600
Total steps: 9156000
Total steps: 9158400
Total steps: 9160800
Total steps: 9163200
Total steps: 9165600
Total steps: 9168000
Total steps: 9170400
Total steps: 9172800
Total steps: 9175200
Total steps: 9177600
Total steps: 9180000
Total steps: 9182400
Total steps: 9184800
Total steps: 9187200
Total steps: 9189600
Total steps: 9192000
Total steps: 9194400
Total steps: 9196800
Total steps: 9199200
Total steps: 9201600
Total steps: 9204000
Total steps: 9206400
Total steps: 9208800
Total steps: 9211200
Total steps: 9213600
Total steps: 9216000
Total steps: 9218400
Total steps: 9220800
Total steps: 9223200
Total steps: 9225600
Total steps: 9228000
Total steps: 9230400
Total steps: 9232800
Total steps: 9235200
Total steps: 9237600
Total steps: 9240000
Total steps: 9242400
Total steps: 9244800
Total steps: 9247200
Total steps: 9249600
Total steps: 9252000
Total steps: 9254400
Total steps: 9256800
Total steps: 9259200
Total steps: 9261600
Total steps: 9264000
Total steps: 9266400
Total steps: 9268800
Total steps: 9271200
Total steps: 9273600
Total steps: 9276000
Total steps: 9278400
Total steps: 9280800
Total steps: 9283200
Total steps: 9285600
Total steps: 9288000
Total steps: 9290400
Total steps: 9292800
Total steps: 9295200
Total steps: 9297600
Total steps: 9300000
Total steps: 9302400
Total steps: 9304800
Total steps: 9307200
Total steps: 9309600
Total steps: 9312000
Total steps: 9314400
Total steps: 9316800
Total steps: 9319200
Total steps: 9321600
Total steps: 9324000
Total steps: 9326400
Total steps: 9328800
Total steps: 9331200
Total steps: 9333600
Total steps: 9336000
Total steps: 9338400
Total steps: 9340800
Total steps: 9343200
Total steps: 9345600
Total steps: 9348000
Total steps: 9350400
Total steps: 9352800
Total steps: 9355200
Total steps: 9357600
Total steps: 9360000
Total steps: 9362400
Total steps: 9364800
Total steps: 9367200
Total steps: 9369600
Total steps: 9372000
Total steps: 9374400
Total steps: 9376800
Total steps: 9379200
Total steps: 9381600
Total steps: 9384000
Total steps: 9386400
Total steps: 9388800
Total steps: 9391200
Total steps: 9393600
Total steps: 9396000
Total steps: 9398400
Total steps: 9400800
Total steps: 9403200
Total steps: 9405600
Total steps: 9408000
Total steps: 9410400
Total steps: 9412800
Total steps: 9415200
Total steps: 9417600
Total steps: 9420000
Total steps: 9422400
Total steps: 9424800
Total steps: 9427200
Total steps: 9429600
Total steps: 9432000
Total steps: 9434400
Total steps: 9436800
Total steps: 9439200
Total steps: 9441600
Total steps: 9444000
Total steps: 9446400
Total steps: 9448800
Total steps: 9451200
Total steps: 9453600
Total steps: 9456000
Total steps: 9458400
Total steps: 9460800
Total steps: 9463200
Total steps: 9465600
Total steps: 9468000
Total steps: 9470400
Total steps: 9472800
Total steps: 9475200
Total steps: 9477600
Total steps: 9480000
Total steps: 9482400
Total steps: 9484800
Total steps: 9487200
Total steps: 9489600
Total steps: 9492000
Total steps: 9494400
Total steps: 9496800
Total steps: 9499200
Total steps: 9501600
Total steps: 9504000
Total steps: 9506400
Total steps: 9508800
Total steps: 9511200
Total steps: 9513600
Total steps: 9516000
Total steps: 9518400
Total steps: 9520800
Total steps: 9523200
Total steps: 9525600
Total steps: 9528000
Total steps: 9530400
Total steps: 9532800
Total steps: 9535200
Total steps: 9537600
Total steps: 9540000
Total steps: 9542400
Total steps: 9544800
Total steps: 9547200
Total steps: 9549600
Total steps: 9552000
Total steps: 9554400
Total steps: 9556800
Total steps: 9559200
Total steps: 9561600
Total steps: 9564000
Total steps: 9566400
Total steps: 9568800
Total steps: 9571200
Total steps: 9573600
Total steps: 9576000
Total steps: 9578400
Total steps: 9580800
Total steps: 9583200
Total steps: 9585600
Total steps: 9588000
Total steps: 9590400
Total steps: 9592800
Total steps: 9595200
Total steps: 9597600
Total steps: 9600000
Total steps: 9602400
Total steps: 9604800
Total steps: 9607200
Total steps: 9609600
Total steps: 9612000
Total steps: 9614400
Total steps: 9616800
Total steps: 9619200
Total steps: 9621600
Total steps: 9624000
Total steps: 9626400
Total steps: 9628800
Total steps: 9631200
Total steps: 9633600
Total steps: 9636000
Total steps: 9638400
Total steps: 9640800
Total steps: 9643200
Total steps: 9645600
Total steps: 9648000
Total steps: 9650400
Total steps: 9652800
Total steps: 9655200
Total steps: 9657600
Total steps: 9660000
Total steps: 9662400
Total steps: 9664800
Total steps: 9667200
Total steps: 9669600
Total steps: 9672000
Total steps: 9674400
Total steps: 9676800
Total steps: 9679200
Total steps: 9681600
Total steps: 9684000
Total steps: 9686400
Total steps: 9688800
Total steps: 9691200
Total steps: 9693600
Total steps: 9696000
Total steps: 9698400
Total steps: 9700800
Total steps: 9703200
Total steps: 9705600
Total steps: 9708000
Total steps: 9710400
Total steps: 9712800
Total steps: 9715200
Total steps: 9717600
Total steps: 9720000
Total steps: 9722400
Total steps: 9724800
Total steps: 9727200
Total steps: 9729600
Total steps: 9732000
Total steps: 9734400
Total steps: 9736800
Total steps: 9739200
Total steps: 9741600
Total steps: 9744000
Total steps: 9746400
Total steps: 9748800
Total steps: 9751200
Total steps: 9753600
Total steps: 9756000
Total steps: 9758400
Total steps: 9760800
Total steps: 9763200
Total steps: 9765600
Total steps: 9768000
Total steps: 9770400
Total steps: 9772800
Total steps: 9775200
Total steps: 9777600
Total steps: 9780000
Total steps: 9782400
Total steps: 9784800
Total steps: 9787200
Total steps: 9789600
Total steps: 9792000
Total steps: 9794400
Total steps: 9796800
Total steps: 9799200
Total steps: 9801600
Total steps: 9804000
Total steps: 9806400
Total steps: 9808800
Total steps: 9811200
Total steps: 9813600
Total steps: 9816000
Total steps: 9818400
Total steps: 9820800
Total steps: 9823200
Total steps: 9825600
Total steps: 9828000
Total steps: 9830400
Total steps: 9832800
Total steps: 9835200
Total steps: 9837600
Total steps: 9840000
Total steps: 9842400
Total steps: 9844800
Total steps: 9847200
Total steps: 9849600
Total steps: 9852000
Total steps: 9854400
Total steps: 9856800
Total steps: 9859200
Total steps: 9861600
Total steps: 9864000
Total steps: 9866400
Total steps: 9868800
Total steps: 9871200
Total steps: 9873600
Total steps: 9876000
Total steps: 9878400
Total steps: 9880800
Total steps: 9883200
Total steps: 9885600
Total steps: 9888000
Total steps: 9890400
Total steps: 9892800
Total steps: 9895200
Total steps: 9897600
Total steps: 9900000
Total steps: 9902400
Total steps: 9904800
Total steps: 9907200
Total steps: 9909600
Total steps: 9912000
Total steps: 9914400
Total steps: 9916800
Total steps: 9919200
Total steps: 9921600
Total steps: 9924000
Total steps: 9926400
Total steps: 9928800
Total steps: 9931200
Total steps: 9933600
Total steps: 9936000
Total steps: 9938400
Total steps: 9940800
Total steps: 9943200
Total steps: 9945600
Total steps: 9948000
Total steps: 9950400
Total steps: 9952800
Total steps: 9955200
Total steps: 9957600
Total steps: 9960000
Total steps: 9962400
Total steps: 9964800
Total steps: 9967200
Total steps: 9969600
Total steps: 9972000
Total steps: 9974400
Total steps: 9976800
Total steps: 9979200
Total steps: 9981600
Total steps: 9984000
Total steps: 9986400
Total steps: 9988800
Total steps: 9991200
Total steps: 9993600
Total steps: 9996000
Total steps: 9998400
Total steps: 10000800
Total steps: 10003200
Total steps: 10005600
Total steps: 10008000
Total steps: 10010400
Total steps: 10012800
Total steps: 10015200
Total steps: 10017600
Total steps: 10020000
Total steps: 10022400
Total steps: 10024800
Total steps: 10027200
Total steps: 10029600
Total steps: 10032000
Total steps: 10034400
Total steps: 10036800
Total steps: 10039200
Total steps: 10041600
Total steps: 10044000
Total steps: 10046400
Total steps: 10048800
Total steps: 10051200
Total steps: 10053600
Total steps: 10056000
Total steps: 10058400
Total steps: 10060800
Total steps: 10063200
Total steps: 10065600
Total steps: 10068000
Total steps: 10070400
Total steps: 10072800
Total steps: 10075200
Total steps: 10077600
Total steps: 10080000
Total steps: 10082400
Total steps: 10084800
Total steps: 10087200
Total steps: 10089600
Total steps: 10092000
Total steps: 10094400
Total steps: 10096800
Total steps: 10099200
Total steps: 10101600
Total steps: 10104000
Total steps: 10106400
Total steps: 10108800
Total steps: 10111200
Total steps: 10113600
Total steps: 10116000
Total steps: 10118400
Total steps: 10120800
Total steps: 10123200
Total steps: 10125600
Total steps: 10128000
Total steps: 10130400
Total steps: 10132800
Total steps: 10135200
Total steps: 10137600
Total steps: 10140000
Total steps: 10142400
Total steps: 10144800
Total steps: 10147200
Total steps: 10149600
Total steps: 10152000
Total steps: 10154400
Total steps: 10156800
Total steps: 10159200
Total steps: 10161600
Total steps: 10164000
Total steps: 10166400
Total steps: 10168800
Total steps: 10171200
Total steps: 10173600
Total steps: 10176000
Total steps: 10178400
Total steps: 10180800
Total steps: 10183200
Total steps: 10185600
Total steps: 10188000
Total steps: 10190400
Total steps: 10192800
Total steps: 10195200
Total steps: 10197600
Total steps: 10200000
Total steps: 10202400
Total steps: 10204800
Total steps: 10207200
Total steps: 10209600
Total steps: 10212000
Total steps: 10214400
Total steps: 10216800
Total steps: 10219200
Total steps: 10221600
Total steps: 10224000
Total steps: 10226400
Total steps: 10228800
Total steps: 10231200
Total steps: 10233600
Total steps: 10236000
Total steps: 10238400
Total steps: 10240800
Total steps: 10243200
Total steps: 10245600
Total steps: 10248000
Total steps: 10250400
Total steps: 10252800
Total steps: 10255200
Total steps: 10257600
Total steps: 10260000
Total steps: 10262400
Total steps: 10264800
Total steps: 10267200
Total steps: 10269600
Total steps: 10272000
Total steps: 10274400
Total steps: 10276800
Total steps: 10279200
Total steps: 10281600
Total steps: 10284000
Total steps: 10286400
Total steps: 10288800
Total steps: 10291200
Total steps: 10293600
Total steps: 10296000
Total steps: 10298400
Total steps: 10300800
Total steps: 10303200
Total steps: 10305600
Total steps: 10308000
Total steps: 10310400
Total steps: 10312800
Total steps: 10315200
Total steps: 10317600
Total steps: 10320000
Total steps: 10322400
Total steps: 10324800
Total steps: 10327200
Total steps: 10329600
Total steps: 10332000
Total steps: 10334400
Total steps: 10336800
Total steps: 10339200
Total steps: 10341600
Total steps: 10344000
Total steps: 10346400
Total steps: 10348800
Total steps: 10351200
Total steps: 10353600
Total steps: 10356000
Total steps: 10358400
Total steps: 10360800
Total steps: 10363200
Total steps: 10365600
Total steps: 10368000
Total steps: 10370400
Total steps: 10372800
Total steps: 10375200
Total steps: 10377600
Total steps: 10380000
Total steps: 10382400
Total steps: 10384800
Total steps: 10387200
Total steps: 10389600
Total steps: 10392000
Total steps: 10394400
Total steps: 10396800
Total steps: 10399200
Total steps: 10401600
Total steps: 10404000
Total steps: 10406400
Total steps: 10408800
Total steps: 10411200
Total steps: 10413600
Total steps: 10416000
Total steps: 10418400
Total steps: 10420800
Total steps: 10423200
Total steps: 10425600
Total steps: 10428000
Total steps: 10430400
Total steps: 10432800
Total steps: 10435200
Total steps: 10437600
Total steps: 10440000
Total steps: 10442400
Total steps: 10444800
Total steps: 10447200
Total steps: 10449600
Total steps: 10452000
Total steps: 10454400
Total steps: 10456800
Total steps: 10459200
Total steps: 10461600
Total steps: 10464000
Total steps: 10466400
Total steps: 10468800
Total steps: 10471200
Total steps: 10473600
Total steps: 10476000
Total steps: 10478400
Total steps: 10480800
Total steps: 10483200
Total steps: 10485600
Total steps: 10488000
Total steps: 10490400
Total steps: 10492800
Total steps: 10495200
Total steps: 10497600
Total steps: 10500000
Total steps: 10502400
Total steps: 10504800
Total steps: 10507200
Total steps: 10509600
Total steps: 10512000
Total steps: 10514400
Total steps: 10516800
Total steps: 10519200
Total steps: 10521600
Total steps: 10524000
Total steps: 10526400
Total steps: 10528800
Total steps: 10531200
Total steps: 10533600
Total steps: 10536000
Total steps: 10538400
Total steps: 10540800
Total steps: 10543200
Total steps: 10545600
Total steps: 10548000
Total steps: 10550400
Total steps: 10552800
Total steps: 10555200
Total steps: 10557600
Total steps: 10560000
Total steps: 10562400
Total steps: 10564800
Total steps: 10567200
Total steps: 10569600
Total steps: 10572000
Total steps: 10574400
Total steps: 10576800
Total steps: 10579200
Total steps: 10581600
Total steps: 10584000
Total steps: 10586400
Total steps: 10588800
Total steps: 10591200
Total steps: 10593600
Total steps: 10596000
Total steps: 10598400
Total steps: 10600800
Total steps: 10603200
Total steps: 10605600
Total steps: 10608000
Total steps: 10610400
Total steps: 10612800
Total steps: 10615200
Total steps: 10617600
Total steps: 10620000
Total steps: 10622400
Total steps: 10624800
Total steps: 10627200
Total steps: 10629600
Total steps: 10632000
Total steps: 10634400
Total steps: 10636800
Total steps: 10639200
Total steps: 10641600
Total steps: 10644000
Total steps: 10646400
Total steps: 10648800
Total steps: 10651200
Total steps: 10653600
Total steps: 10656000
Total steps: 10658400
Total steps: 10660800
Total steps: 10663200
Total steps: 10665600
Total steps: 10668000
Total steps: 10670400
Total steps: 10672800
Total steps: 10675200
Total steps: 10677600
Total steps: 10680000
Total steps: 10682400
Total steps: 10684800
Total steps: 10687200
Total steps: 10689600
Total steps: 10692000
Total steps: 10694400
Total steps: 10696800
Total steps: 10699200
Total steps: 10701600
Total steps: 10704000
Total steps: 10706400
Total steps: 10708800
Total steps: 10711200
Total steps: 10713600
Total steps: 10716000
Total steps: 10718400
Total steps: 10720800
Total steps: 10723200
Total steps: 10725600
Total steps: 10728000
Total steps: 10730400
Total steps: 10732800
Total steps: 10735200
Total steps: 10737600
Total steps: 10740000
Total steps: 10742400
Total steps: 10744800
Total steps: 10747200
Total steps: 10749600
Total steps: 10752000
Total steps: 10754400
Total steps: 10756800
Total steps: 10759200
Total steps: 10761600
Total steps: 10764000
Total steps: 10766400
Total steps: 10768800
Total steps: 10771200
Total steps: 10773600
Total steps: 10776000
Total steps: 10778400
Total steps: 10780800
Total steps: 10783200
Total steps: 10785600
Total steps: 10788000
Total steps: 10790400
Total steps: 10792800
Total steps: 10795200
Total steps: 10797600
Total steps: 10800000
Total steps: 10802400
Total steps: 10804800
Total steps: 10807200
Total steps: 10809600
Total steps: 10812000
Total steps: 10814400
Total steps: 10816800
Total steps: 10819200
Total steps: 10821600
Total steps: 10824000
Total steps: 10826400
Total steps: 10828800
Total steps: 10831200
Total steps: 10833600
Total steps: 10836000
Total steps: 10838400
Total steps: 10840800
Total steps: 10843200
Total steps: 10845600
Total steps: 10848000
Total steps: 10850400
Total steps: 10852800
Total steps: 10855200
Total steps: 10857600
Total steps: 10860000
Total steps: 10862400
Total steps: 10864800
Total steps: 10867200
Total steps: 10869600
Total steps: 10872000
Total steps: 10874400
Total steps: 10876800
Total steps: 10879200
Total steps: 10881600
Total steps: 10884000
Total steps: 10886400
Total steps: 10888800
Total steps: 10891200
Total steps: 10893600
Total steps: 10896000
Total steps: 10898400
Total steps: 10900800
Total steps: 10903200
Total steps: 10905600
Total steps: 10908000
Total steps: 10910400
Total steps: 10912800
Total steps: 10915200
Total steps: 10917600
Total steps: 10920000
Total steps: 10922400
Total steps: 10924800
Total steps: 10927200
Total steps: 10929600
Total steps: 10932000
Total steps: 10934400
Total steps: 10936800
Total steps: 10939200
Total steps: 10941600
Total steps: 10944000
Total steps: 10946400
Total steps: 10948800
Total steps: 10951200
Total steps: 10953600
Total steps: 10956000
Total steps: 10958400
Total steps: 10960800
Total steps: 10963200
Total steps: 10965600
Total steps: 10968000
Total steps: 10970400
Total steps: 10972800
Total steps: 10975200
Total steps: 10977600
Total steps: 10980000
Total steps: 10982400
Total steps: 10984800
Total steps: 10987200
Total steps: 10989600
Total steps: 10992000
Total steps: 10994400
Total steps: 10996800
Total steps: 10999200
Total steps: 11001600
Total steps: 11004000
Total steps: 11006400
Total steps: 11008800
Total steps: 11011200
Total steps: 11013600
Total steps: 11016000
Total steps: 11018400
Total steps: 11020800
Total steps: 11023200
Total steps: 11025600
Total steps: 11028000
Total steps: 11030400
Total steps: 11032800
Total steps: 11035200
Total steps: 11037600
Total steps: 11040000
Total steps: 11042400
Total steps: 11044800
Total steps: 11047200
Total steps: 11049600
Total steps: 11052000
Total steps: 11054400
Total steps: 11056800
Total steps: 11059200
Total steps: 11061600
Total steps: 11064000
Total steps: 11066400
Total steps: 11068800
Total steps: 11071200
Total steps: 11073600
Total steps: 11076000
Total steps: 11078400
Total steps: 11080800
Total steps: 11083200
Total steps: 11085600
Total steps: 11088000
Total steps: 11090400
Total steps: 11092800
Total steps: 11095200
Total steps: 11097600
Total steps: 11100000
Total steps: 11102400
Total steps: 11104800
Total steps: 11107200
Total steps: 11109600
Total steps: 11112000
Total steps: 11114400
Total steps: 11116800
Total steps: 11119200
Total steps: 11121600
Total steps: 11124000
Total steps: 11126400
Total steps: 11128800
Total steps: 11131200
Total steps: 11133600
Total steps: 11136000
Total steps: 11138400
Total steps: 11140800
Total steps: 11143200
Total steps: 11145600
Total steps: 11148000
Total steps: 11150400
Total steps: 11152800
Total steps: 11155200
Total steps: 11157600
Total steps: 11160000
Total steps: 11162400
Total steps: 11164800
Total steps: 11167200
Total steps: 11169600
Total steps: 11172000
Total steps: 11174400
Total steps: 11176800
Total steps: 11179200
Total steps: 11181600
Total steps: 11184000
Total steps: 11186400
Total steps: 11188800
Total steps: 11191200
Total steps: 11193600
Total steps: 11196000
Total steps: 11198400
Total steps: 11200800
Total steps: 11203200
Total steps: 11205600
Total steps: 11208000
Total steps: 11210400
Total steps: 11212800
Total steps: 11215200
Total steps: 11217600
Total steps: 11220000
Total steps: 11222400
Total steps: 11224800
Total steps: 11227200
Total steps: 11229600
Total steps: 11232000
Total steps: 11234400
Total steps: 11236800
Total steps: 11239200
Total steps: 11241600
Total steps: 11244000
Total steps: 11246400
Total steps: 11248800
Total steps: 11251200
Total steps: 11253600
Total steps: 11256000
Total steps: 11258400
Total steps: 11260800
Total steps: 11263200
Total steps: 11265600
Total steps: 11268000
Total steps: 11270400
Total steps: 11272800
Total steps: 11275200
Total steps: 11277600
Total steps: 11280000
Total steps: 11282400
Total steps: 11284800
Total steps: 11287200
Total steps: 11289600
Total steps: 11292000
Total steps: 11294400
Total steps: 11296800
Total steps: 11299200
Total steps: 11301600
Total steps: 11304000
Total steps: 11306400
Total steps: 11308800
Total steps: 11311200
Total steps: 11313600
Total steps: 11316000
Total steps: 11318400
Total steps: 11320800
Total steps: 11323200
Total steps: 11325600
Total steps: 11328000
Total steps: 11330400
Total steps: 11332800
Total steps: 11335200
Total steps: 11337600
Total steps: 11340000
Total steps: 11342400
Total steps: 11344800
Total steps: 11347200
Total steps: 11349600
Total steps: 11352000
Total steps: 11354400
Total steps: 11356800
Total steps: 11359200
Total steps: 11361600
Total steps: 11364000
Total steps: 11366400
Total steps: 11368800
Total steps: 11371200
Total steps: 11373600
Total steps: 11376000
Total steps: 11378400
Total steps: 11380800
Total steps: 11383200
Total steps: 11385600
Total steps: 11388000
Total steps: 11390400
Total steps: 11392800
Total steps: 11395200
Total steps: 11397600
Total steps: 11400000
Total steps: 11402400
Total steps: 11404800
Total steps: 11407200
Total steps: 11409600
Total steps: 11412000
Total steps: 11414400
Total steps: 11416800
Total steps: 11419200
Total steps: 11421600
Total steps: 11424000
Total steps: 11426400
Total steps: 11428800
Total steps: 11431200
Total steps: 11433600
Total steps: 11436000
Total steps: 11438400
Total steps: 11440800
Total steps: 11443200
Total steps: 11445600
Total steps: 11448000
Total steps: 11450400
Total steps: 11452800
Total steps: 11455200
Total steps: 11457600
Total steps: 11460000
Total steps: 11462400
Total steps: 11464800
Total steps: 11467200
Total steps: 11469600
Total steps: 11472000
Total steps: 11474400
Total steps: 11476800
Total steps: 11479200
Total steps: 11481600
Total steps: 11484000
Total steps: 11486400
Total steps: 11488800
Total steps: 11491200
Total steps: 11493600
Total steps: 11496000
Total steps: 11498400
Total steps: 11500800
Total steps: 11503200
Total steps: 11505600
Total steps: 11508000
Total steps: 11510400
Total steps: 11512800
Total steps: 11515200
Total steps: 11517600
Total steps: 11520000
Total steps: 11522400
Total steps: 11524800
Total steps: 11527200
Total steps: 11529600
Total steps: 11532000
Total steps: 11534400
Total steps: 11536800
Total steps: 11539200
Total steps: 11541600
Total steps: 11544000
Total steps: 11546400
